video_id,comment_id,author,parent
pHSb00vip60,Ugxsk4_OnXOrkXygSpx4AaABAg,@Towachan.t7,
pHSb00vip60,Ugyki8-rk_c7GNmTEop4AaABAg,@Khanhle-fh9oe,
pHSb00vip60,UgyR6goqwn7-YVF-10t4AaABAg,@cogiaotv8887,
pHSb00vip60,UgzL13-mxuuDM5tnc4V4AaABAg,@linhhuynh5472,
pHSb00vip60,UgxBYnLFR8jpdPbP0Tp4AaABAg,@LongOggy,
pHSb00vip60,UgwWiWD49kbsWUbKFYl4AaABAg,@NghiNguyễn-q3i,
pHSb00vip60,UgyFo5IbFGZvRsf6HyJ4AaABAg,@AnMỹ-b3j5f,
pHSb00vip60,UgxbS_PdDniRnLyShMt4AaABAg,@BenTre-g8v,
pHSb00vip60,UgxdtXO-hBDMSkai1oZ4AaABAg,@DitichTV,
pHSb00vip60,UgyBIFE9LdTGT44V3aF4AaABAg,@Hoànghổ-i4e,
pHSb00vip60,UgztBtrJ-FIx9NoxyWZ4AaABAg,@LocPhuc-x4r,
pHSb00vip60,UgyOGZxPDAYGqXoTZ4x4AaABAg,@ChuThu-k5r,
pHSb00vip60,UgzJA0YlzzzYSioN4JJ4AaABAg,@TriNhoc-T2K,
pHSb00vip60,Ugwbujjm-tV9MopHBJx4AaABAg,@KahnhdzPhan,
pHSb00vip60,Ugxzo3scu0Gow_bSQmh4AaABAg,@khanhhung-28212,
pHSb00vip60,UgxdY-eqeTCdf-AUpoB4AaABAg,@EnneryTrần,
pHSb00vip60,UgwYWA-NMoy5rid3khB4AaABAg,@phanhuynh3880,
pHSb00vip60,UgzHOR4Ue4LQIKAz9yV4AaABAg,@PhucNguyen-sw3nv,
pHSb00vip60,UgyBnz8NRSTE0JNN-JB4AaABAg,@Yuhffukmmnb,
pHSb00vip60,UgyJ9TCwdjKjEJoaqPh4AaABAg,@DươngPhạm-n1r,
pHSb00vip60,UgzFNIIWp00-_IB_A8N4AaABAg,@DươngPhạm-n1r,
pHSb00vip60,Ugzp90H0ebg39PAOd7V4AaABAg,@DươngPhạm-n1r,
pHSb00vip60,Ugz3m66vQEJgC8Vo3kd4AaABAg,@DươngPhạm-n1r,
pHSb00vip60,Ugz7W90vNeMWUgExMfJ4AaABAg,@thianguyen2111,
pHSb00vip60,Ugz_5nuhXKN0DRkBnmB4AaABAg,@KhoaNguyen-rp3nm,
pHSb00vip60,UgzEhxf5zjSM0H6482F4AaABAg,@binhnguyen7498,
pHSb00vip60,UgxBr05TWIsxRlX6qrp4AaABAg,@LeMinhTri2000,
pHSb00vip60,Ugx1xOucPT_TAI-9o8N4AaABAg,@GiaHaoNguyen-rx2on,
pHSb00vip60,UgyEohSWrMHRW66BOyR4AaABAg,@Mpde123,
pHSb00vip60,UgwxPqJcuGGdF7IHJqx4AaABAg,@Mpde123,
pHSb00vip60,UgwzPPXAunh3oUljdn54AaABAg,@triandkiethihi,
pHSb00vip60,UgwuTgTzMxFMQYnYkEV4AaABAg,@bùithuhằng-w1b,
