source,target,weight
@DuongVu-6696,@votanan420,1
@DuongVu6696-us2-n,@NguyenNhatHao2006,1
@DuongVu6696-us2-n,@mavantien1500,1
@DuongVu6696-us2-n,@tungvlog4756,1
@DuongVu6696-us2-w,@np2252,1
@DuongVu6696-us2-w,@tranhoangvietanh4481,3
@Duongff-e6h,@ChứaNguyễn-m5v,1
@DuyKhangTrần-y6b,@Xuanhung15hp,1
@DuyKhánh-m2y,@CậuÚt36,1
@DuyKhánh-m2y,@bebong2605,1
@DuyKhánh-m2y,@dorillaslingshot,1
@DuyNguyen-dj9jt,@khanhphan2k10,1
@DuyNguyen-wf1ok,@DelightMunch,1
@DuyNguyen-xy1qd,@TháiNgu-e2l,1
@DuyenMy-lx1el,@TuanAnhNguyen-fv3wz,1
@DuyinhKhanh-om5dc,@bnchan2k2,1
@DuyyKhanng,@thanhat2701,1
@Dưkhou,@oanhcovo4564,1
@DưongTấn-f3q,@KhuongThái-c9u,1
@DưongTấn-f3q,@chuongvo9406,1
@DươngThùy-l1d,@NgânNguyễn-s1b9m,1
@DễNguyễn-NHD,,1
@EdHf-du4jd,@liênbích-q3j,1
@FfAcchack-ih9ku,@plantsvsbranrot,1
@FuNGAMING1511,@ThantKanh,1
@FuNGAMING1511,@phucfake6237,1
@GgGgg-of6bi,@LLT_CML,1
@GiaBảoPhùng-n3y,@yocutee9013,1
@GiaKhangNguyễnHoàng-m9d,@nguyensanhkhoii5745,1
@Giahuy25th8,@LựcSlingshot,1
@Giahuynauan,@nguyenhungthinh1939,1
@GiangDuong-p6f,@HàNhậtThiên-n3r,1
@GiangLe-sw8cg,@MinhpreGamer,1
@GiaânTrương-m9b,@Cookingwithme207-2,1
@Gingthingocloan,@TuyếtTrần-d5b,1
@Goku_chan737,@VanvinhTruong-d2m,1
@HIẾUVũMinh-m9k,@keith.daniels,1
@HKTVMIN,@quoc_anh8789,1
@HUY-TBE,@HuyLe-sj2mb,1
@HUY-TBE,@NgânNguyễn-s1b9m,1
@HUY-TBE,@truongcontainer5528,1
@HUYGATO,@iamtiendung,1
@HaiHao-bz5gg,@np2252,1
@HaiNguyen-th5zw,@CậuÚt36,1
@HaiTran-fw9wc,@ToanTran-qj8gl,1
@HaiTran-fw9wc,@sangpham3039,1
@Handmade-crafts-2007,@Cattuong-ne,1
@HaoLe-og9nl,@ThựcPhạm-h1u,1
@Happy2193,@-anhle2479,1
@Happy2193,@QuyenVungoc-n2b,1
@HaruMCzzz,@HoaNguyễn-f9s2i,1
@HaruMCzzz,@HảiHoàng-n2r8p,1
@HaruMCzzz,@MinhHoangTran-xk2tr,1
@HaruMCzzz,@Valỏanttậpchơi808,1
@HaruMCzzz,@VyyyHxuânvy,1
@HaruMCzzz,@banhkha9784,1
@HaruMCzzz,@bomaydayne,1
@HaruMCzzz,@duongloctaitai4993,1
@HaruMCzzz,@minhtruongnguyen9686,1
@HaruMCzzz,@nhuyxubii9623,1
@HaruMCzzz,@tienthuy9269,1
@HaruMCzzz,@tuanthanh19213,1
@HaruMCzzz,@xuanhoang8049,1
@HaruMCzzz,@xubasi,1
@HaruMCzzz,@黃明林-n9v,1
@HauHau-np6fu,@MobileDe-z3r,1
@HauPham-wb4ms,@LLT_CML,1
@Hazzzzz33,@tienthanh7469,1
@Helllloman_2004,@VanvinhTruong-d2m,1
@HhhhHhhh-j1x,@Tuankietpmf,1
@HienHoang-nx6zj,@ongsonguyen1394,1
@HienNguyen-k7f3f,@HoangThinh-ToHi,1
@HieuTrong-r6u,@haosua1997,1
@HieuVan-y2i,@thaithanhnguyenngoc8428,1
@Hmh-k6h,@RonalsoCristinal,1
@HoangAnhNgNgoc,@Huongnguyenlt,1
@HoangAnhNgNgoc,@nvbtv6536,1
@HoangLam-i9v,@dannychannel487,1
@HoangNguyen-wv6id,@an4781,1
@HongVanNguyen-t2l,@khiemminecraft19,1
@Hongdao28.6,@BéDiên-4,1
@HoàiNamOffical,@Nguyenanhtuankiet,1
@HoàngDyy,@thanhtungvole7360,1
@HoàngHuy-j9b,@HuyPham-ye5xy,1
@HoàngLê-g9g,@LieuThuy-zr6uo,1
@HoàngNgô-w4l,@gadeptrai35,1
@Hstấnđạt,@xuanquocnguyen8103,1
@HuaNhu-e4c,@uthainguyen1986,1
@HungLoveZata,@DuongDuong-cover,1
@HungPham-tr6uq,@TuyếtÁnh-o7y,1
@Hunglofi7108,@QuyenVungoc-n2b,1
@HuongNguyen-vp9un,@the.anh.1238,1
@HuuNghia-w8l,@BangKhanh-kb6wc,1
@HuyGia-l2f,@Thanhbinhbui2003,2
@HuyGia-l2f,@ThoaiNguyen-vt2nu,1
@HuyHoàng-ANH,@Camcam-fu4wl,1
@HuyLeo203,@2k7gaming,1
@HuyLeo203,@Aaembe,1
@HuyLeo203,@CafeCao-d9u,1
@HuyLeo203,@HieuHoang-mu9oi,1
@HuyLeo203,@Hippuuu,1
@HuyLeo203,@Junies10,1
@HuyLeo203,@Mie_nyaa,1
@HuyLeo203,@NghĩaTrương-b1j,1
@HuyLeo203,@PhamDuc1294,1
@HuyLeo203,@QuangTran-p5f,1
@HuyLeo203,@TuyenNguyen-wy7rc,1
@HuyLeo203,@VannThuyy-yk9ry,1
@HuyLeo203,@_HuynhPhucLinh,1
