Address,Area,Frontage,Access Road,Floors,Bedrooms,Bathrooms,Legal status,Furniture state,Price,City,District,Area_bin,Area_bin_order,Frontage_bin,Frontage_bin_order,Access_Road_bin,Access_Road_bin_order,Floors_bin,Floors_bin_order,Bedrooms_bin,Bedrooms_bin_order,Bathrooms_bin,Bathrooms_bin_order,Total_Room,Total_Room_bin,Total_Room_order
"Hẻm 482/9, Đường Nơ Trang Long, Phường 13, Bình Thạnh, Hồ Chí Minh",38.0,4.4,5.0,2.0,1,1,Sale contract,No furnishings,4.1,Hồ Chí Minh,Bình Thạnh,20–40,1,4–6,2,3–5,2,1–2,1,1–2,1,1–2,1,2,2–4,1
"Đường Nhiêu Tứ, Phường 7, Phú Nhuận, Hồ Chí Minh",40.0,4.1,6.0,4.0,3,4,Have certificate,No furnishings,7.7,Hồ Chí Minh,Phú Nhuận,20–40,1,4–6,2,5–7,3,3–4,2,3–4,2,3–4,2,7,5–7,2
"Đường Nguyễn Trung Trực, Phường 5, Bình Thạnh, Hồ Chí Minh",69.1,4.0,4.5,3.0,3,4,Have certificate,Full,10.0,Hồ Chí Minh,Bình Thạnh,60–80,3,2–4,1,3–5,2,3–4,2,3–4,2,3–4,2,7,5–7,2
"Đường Huỳnh Văn Bánh, Phường 12, Phú Nhuận, Hồ Chí Minh",30.0,4.0,6.0,3.0,3,4,Have certificate,Full,7.15,Hồ Chí Minh,Phú Nhuận,20–40,1,2–4,1,5–7,3,3–4,2,3–4,2,3–4,2,7,5–7,2
"Đường Đào Tấn, Phường Cống Vị, Ba Đình, Hà Nội",73.0,5.0,4.0,4.0,4,4,Sale contract,No furnishings,9.5,Hà Nội,Ba Đình,60–80,3,4–6,2,3–5,2,3–4,2,3–4,2,3–4,2,8,8–11,3
"Ngõ 7, Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội",52.0,4.0,3.0,4.0,4,4,Sale contract,No furnishings,6.5,Hà Nội,Đống Đa,40–60,2,2–4,1,2–3,1,3–4,2,3–4,2,3–4,2,8,8–11,3
"Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội",45.0,6.0,3.0,4.0,4,4,Have certificate,No furnishings,7.65,Hà Nội,Đống Đa,40–60,2,4–6,2,2–3,1,3–4,2,3–4,2,3–4,2,8,8–11,3
"240/, Đường Hiệp Thành 13, Phường Hiệp Thành, Quận 12, Hồ Chí Minh",64.0,4.0,5.0,3.0,4,3,Have certificate,No furnishings,4.7,Hồ Chí Minh,Quận 12,60–80,3,2–4,1,3–5,2,3–4,2,3–4,2,3–4,2,7,5–7,2
"Dự án Dream Home Palace, Đường Trịnh Quang Nghị, Phường 7, Quận 8, Hồ Chí Minh",156.0,10.0,10.0,2.0,1,1,Sale contract,No furnishings,7.8,Hồ Chí Minh,Quận 8,120–160,5,8–12,4,lớn hơn 9,5,1–2,1,1–2,1,1–2,1,2,2–4,1
"Dự án Florence Mỹ Đình, Đường Trần Hữu Dực, Thị trấn Cầu Diễn, Nam Từ Liêm, Hà Nội.",99.4,4.0,5.0,2.0,1,2,Have certificate,Full,9.5,Hà Nội,Nam Từ Liêm,80–120,4,2–4,1,3–5,2,1–2,1,1–2,1,1–2,1,3,2–4,1
