Address,Area,Frontage,Access Road,Floors,Bedrooms,Bathrooms,Legal status,Furniture state,Price,City,District,Area_bin,Area_bin_order,Frontage_bin,Frontage_bin_order,Access_Road_bin,Access_Road_bin_order,Floors_bin,Floors_bin_order,Bedrooms_bin,Bedrooms_bin_order,Bathrooms_bin,Bathrooms_bin_order,Total_Room,Total_Room_bin,Total_Room_order
"Đường Lê Thị Lơ, Xã Tân Hiệp, Hóc Môn, Hồ Chí Minh",40.0,4.0,8.0,2.0,2,2,Have certificate,Basic,1.85,Hồ Chí Minh,Hóc Môn,20–40,1,2–4,1,7–9,4,1–2,1,1–2,1,1–2,1,4,2–4,1
"Đường Tân Hiệp 16, Xã Tân Hiệp, Hóc Môn, Hồ Chí Minh",138.0,8.0,5.0,1.0,2,3,Have certificate,No furnishings,3.8,Hồ Chí Minh,Hóc Môn,120–160,5,6–8,3,3–5,2,1–2,1,1–2,1,3–4,2,5,5–7,2
"Đường Phạm Thị Giây, Xã Thới Tam Thôn, Hóc Môn, Hồ Chí Minh",96.0,5.0,6.0,2.0,3,3,Have certificate,Basic,3.9,Hồ Chí Minh,Hóc Môn,80–120,4,4–6,2,5–7,3,1–2,1,3–4,2,3–4,2,6,5–7,2
"Đường Man Thiện, Phường Tăng Nhơn Phú A, Thủ Đức, Hồ Chí Minh",83.0,4.0,7.0,2.0,3,2,Have certificate,No furnishings,7.2,Hồ Chí Minh,Thủ Đức,80–120,4,2–4,1,5–7,3,1–2,1,3–4,2,1–2,1,5,5–7,2
"Phố Hồng Tiến, Phường Bồ Đề, Long Biên, Hà Nội",40.0,3.675,3.0,6.0,4,4,Sale contract,No furnishings,9.25,Hà Nội,Long Biên,20–40,1,2–4,1,2–3,1,5–7,3,3–4,2,3–4,2,8,8–11,3
"Đường Võ Thị Sáu, Phường Đông Hòa, Dĩ An, Bình Dương",62.0,6.7,6.0,2.0,2,2,Have certificate,No furnishings,3.5,Bình Dương,Dĩ An,60–80,3,6–8,3,5–7,3,1–2,1,1–2,1,1–2,1,4,2–4,1
"Đường 19, Phường 8, Gò Vấp, Hồ Chí Minh",60.0,4.0,10.0,4.0,3,2,Have certificate,Full,8.5,Hồ Chí Minh,Gò Vấp,40–60,2,2–4,1,lớn hơn 9,5,3–4,2,3–4,2,1–2,1,5,5–7,2
"Đường Ngô Thì Nhậm, Phường Dĩ An, Dĩ An, Bình Dương",75.0,5.0,5.0,2.0,3,2,Have certificate,No furnishings,3.65,Bình Dương,Dĩ An,60–80,3,4–6,2,3–5,2,1–2,1,3–4,2,1–2,1,5,5–7,2
"Đường Nguyễn Thái Học, Phường Điện Biên, Ba Đình, Hà Nội",40.0,4.8,5.0,1.0,1,1,Sale contract,Full,4.8,Hà Nội,Ba Đình,20–40,1,4–6,2,3–5,2,1–2,1,1–2,1,1–2,1,2,2–4,1
"Đường Thuận Giao 6, Phường Thuận Giao, Thuận An, Bình Dương",93.5,5.11,5.0,2.0,3,2,Have certificate,Basic,3.35,Bình Dương,Thuận An,80–120,4,4–6,2,3–5,2,1–2,1,3–4,2,1–2,1,5,5–7,2
"Đường Nguyễn Triệu Luật, Phường Tân Tạo, Bình Tân, Hồ Chí Minh",44.0,5.0,5.0,2.0,2,2,Have certificate,Basic,2.35,Hồ Chí Minh,Bình Tân,40–60,2,4–6,2,3–5,2,1–2,1,1–2,1,1–2,1,4,2–4,1
"Phường Dư Hàng, Lê Chân, Hải Phòng",50.0,4.4,5.0,1.0,1,1,Sale contract,No furnishings,3.05,Hải Phòng,Lê Chân,40–60,2,4–6,2,3–5,2,1–2,1,1–2,1,1–2,1,2,2–4,1
"Phường  An Dương, Lê Chân, Hải Phòng",60.0,4.4,5.0,1.0,1,1,Sale contract,No furnishings,3.8,Hải Phòng,Lê Chân,40–60,2,4–6,2,3–5,2,1–2,1,1–2,1,1–2,1,2,2–4,1
"Đường Đại Cồ Việt, Phường Lê Đại Hành, Hai Bà Trưng, Hà Nội",45.0,3.5,2.0,5.0,3,4,Have certificate,Full,5.95,Hà Nội,Hai Bà Trưng,40–60,2,2–4,1,2–3,1,5–7,3,3–4,2,3–4,2,7,5–7,2
"Đường Đông Tác, Phường Tân Đông Hiệp, Dĩ An, Bình Dương",72.0,4.0,6.0,3.0,3,2,Sale contract,No furnishings,4.55,Bình Dương,Dĩ An,60–80,3,2–4,1,5–7,3,3–4,2,3–4,2,1–2,1,5,5–7,2
"Đường Huỳnh Văn Bánh, Phường 13, Phú Nhuận, Hồ Chí Minh",57.0,4.0,4.0,4.0,5,5,Have certificate,Basic,9.9,Hồ Chí Minh,Phú Nhuận,40–60,2,2–4,1,3–5,2,3–4,2,5–8,3,5–8,3,10,8–11,3
"Phường Tân Đông Hiệp, Dĩ An, Bình Dương",95.0,5.0,5.0,3.0,3,2,Sale contract,No furnishings,4.45,Bình Dương,Dĩ An,80–120,4,4–6,2,3–5,2,3–4,2,3–4,2,1–2,1,5,5–7,2
"Đường Lê Lợi, Phường 4, Gò Vấp, Hồ Chí Minh",60.0,4.0,5.0,4.0,4,5,Have certificate,Full,7.9,Hồ Chí Minh,Gò Vấp,40–60,2,2–4,1,3–5,2,3–4,2,3–4,2,5–8,3,9,8–11,3
"Phố Đình Đông, Phường Đông Hải, Lê Chân, Hải Phòng",51.1,4.05,5.0,3.0,1,1,Sale contract,No furnishings,3.6,Hải Phòng,Lê Chân,40–60,2,4–6,2,3–5,2,3–4,2,1–2,1,1–2,1,2,2–4,1
"Phường Bình Hòa, Thuận An, Bình Dương",72.0,5.0,10.0,3.0,4,4,Have certificate,Full,4.8,Bình Dương,Thuận An,60–80,3,4–6,2,lớn hơn 9,5,3–4,2,3–4,2,3–4,2,8,8–11,3
"Đường An Đà, Phường Đằng Giang, Ngô Quyền, Hải Phòng",44.0,3.5,4.0,3.0,3,3,Have certificate,Full,2.7,Hải Phòng,Ngô Quyền,40–60,2,2–4,1,3–5,2,3–4,2,3–4,2,3–4,2,6,5–7,2
"Phường Bình Hòa, Thuận An, Bình Dương",72.0,5.0,10.0,3.0,4,4,Have certificate,No furnishings,4.8,Bình Dương,Thuận An,60–80,3,4–6,2,lớn hơn 9,5,3–4,2,3–4,2,3–4,2,8,8–11,3
"Đường Nguyễn Tường Loan, Phường Nghĩa Xá, Lê Chân, Hải Phòng",42.0,4.4,3.0,3.5,3,2,Sale contract,No furnishings,4.5,Hải Phòng,Lê Chân,40–60,2,4–6,2,2–3,1,3–4,2,3–4,2,1–2,1,5,5–7,2
"Đường Số 3, Phường 9, Gò Vấp, Hồ Chí Minh",65.0,4.5,4.0,5.0,5,6,Have certificate,Full,8.25,Hồ Chí Minh,Gò Vấp,60–80,3,4–6,2,3–5,2,5–7,3,5–8,3,5–8,3,11,8–11,3
"Đường Đặng Thùy Trâm, Phường 13, Bình Thạnh, Hồ Chí Minh",57.0,4.0,12.0,4.0,5,5,Have certificate,Full,8.9,Hồ Chí Minh,Bình Thạnh,40–60,2,2–4,1,lớn hơn 9,5,3–4,2,5–8,3,5–8,3,10,8–11,3
"Đường Hoàng Mai, Phường Hoàng Văn Thụ, Hoàng Mai, Hà Nội",34.0,3.95,3.0,5.0,3,4,Have certificate,Full,5.38,Hà Nội,Hoàng Mai,20–40,1,2–4,1,2–3,1,5–7,3,3–4,2,3–4,2,7,5–7,2
"Đường N1, Phường Tân Đông Hiệp, Dĩ An, Bình Dương",71.0,4.0,12.0,3.0,3,3,Have certificate,No furnishings,3.95,Bình Dương,Dĩ An,60–80,3,2–4,1,lớn hơn 9,5,3–4,2,3–4,2,3–4,2,6,5–7,2
"Đường Thới An 5, Phường Thới An, Quận 12, Hồ Chí Minh",72.0,4.0,8.0,2.0,3,2,Have certificate,Full,5.6,Hồ Chí Minh,Quận 12,60–80,3,2–4,1,7–9,4,1–2,1,3–4,2,1–2,1,5,5–7,2
"Dự án Hiệp Thành City, Phường Hiệp Thành, Quận 12, Hồ Chí Minh",90.0,5.0,10.0,4.0,5,5,Have certificate,Full,9.85,Hồ Chí Minh,Quận 12,80–120,4,4–6,2,lớn hơn 9,5,3–4,2,5–8,3,5–8,3,10,8–11,3
"Đường Trần Thị Hè, Phường Hiệp Thành, Quận 12, Hồ Chí Minh",75.0,4.0,7.0,4.0,5,5,Have certificate,No furnishings,4.75,Hồ Chí Minh,Quận 12,60–80,3,2–4,1,5–7,3,3–4,2,5–8,3,5–8,3,10,8–11,3
"Đường Cây Keo, Phường Tam Phú, Thủ Đức, Hồ Chí Minh",51.0,5.0,5.1,2.0,3,3,Have certificate,No furnishings,5.45,Hồ Chí Minh,Thủ Đức,40–60,2,4–6,2,5–7,3,1–2,1,3–4,2,3–4,2,6,5–7,2
"Đường Thới An 06, Phường Thới An, Quận 12, Hồ Chí Minh",72.0,4.0,4.0,2.0,3,2,Have certificate,Full,3.8,Hồ Chí Minh,Quận 12,60–80,3,2–4,1,3–5,2,1–2,1,3–4,2,1–2,1,5,5–7,2
"Đường Hậu Giang, Phường 11, Quận 6, Hồ Chí Minh",20.4,3.4,3.0,3.0,2,2,Have certificate,Basic,2.7,Hồ Chí Minh,Quận 6,20–40,1,2–4,1,2–3,1,3–4,2,1–2,1,1–2,1,4,2–4,1
"Hẻm 134, Đường Dương Thị Mười, Phường Tân Chánh Hiệp, Quận 12, Hồ Chí Minh",126.0,4.0,7.0,1.0,7,7,Have certificate,Full,4.99,Hồ Chí Minh,Quận 12,120–160,5,2–4,1,5–7,3,1–2,1,5–8,3,5–8,3,14,12+,4
"Đường Tân Thới Hiệp 21, Phường Tân Thới Hiệp, Quận 12, Hồ Chí Minh",96.0,4.0,10.0,3.0,4,3,Have certificate,Full,8.5,Hồ Chí Minh,Quận 12,80–120,4,2–4,1,lớn hơn 9,5,3–4,2,3–4,2,3–4,2,7,5–7,2
"Đường Trần Thị Cờ, Phường Thới An, Quận 12, Hồ Chí Minh",70.0,5.0,4.0,2.0,3,2,Have certificate,Full,4.0,Hồ Chí Minh,Quận 12,60–80,3,4–6,2,3–5,2,1–2,1,3–4,2,1–2,1,5,5–7,2
"Đường ĐT 743B, Phường Tân Đông Hiệp, Dĩ An, Bình Dương",100.0,5.0,6.0,2.0,3,3,Have certificate,No furnishings,3.85,Bình Dương,Dĩ An,80–120,4,4–6,2,5–7,3,1–2,1,3–4,2,3–4,2,6,5–7,2
"Đường Bồ Đề, Phường Bồ Đề, Long Biên, Hà Nội",52.0,4.5,3.0,5.0,3,4,Have certificate,Full,7.2,Hà Nội,Long Biên,40–60,2,4–6,2,2–3,1,5–7,3,3–4,2,3–4,2,7,5–7,2
"Đường Số 7, Phường Bình Hưng Hòa, Bình Tân, Hồ Chí Minh",70.0,4.0,10.0,2.0,3,2,Have certificate,Basic,5.9,Hồ Chí Minh,Bình Tân,60–80,3,2–4,1,lớn hơn 9,5,1–2,1,3–4,2,1–2,1,5,5–7,2
"Phường Bình Trưng Tây, Quận 2, Hồ Chí Minh",36.0,4.37,4.0,2.0,1,1,Have certificate,No furnishings,2.5,Hồ Chí Minh,Quận 2,20–40,1,4–6,2,3–5,2,1–2,1,1–2,1,1–2,1,2,2–4,1
"Đường Nguyễn Văn Cừ, Phường Gia Thụy, Long Biên, Hà Nội",55.0,7.0,2.5,5.0,5,5,Have certificate,Full,9.3,Hà Nội,Long Biên,40–60,2,6–8,3,2–3,1,5–7,3,5–8,3,5–8,3,10,8–11,3
"Phường Bình Trưng Đông, Quận 2, Hồ Chí Minh",60.0,6.0,10.0,2.0,3,2,Have certificate,No furnishings,4.5,Hồ Chí Minh,Quận 2,40–60,2,4–6,2,lớn hơn 9,5,1–2,1,3–4,2,1–2,1,5,5–7,2
"Đường Hiệp Thành 45, Phường Hiệp Thành, Quận 12, Hồ Chí Minh",60.0,4.0,3.0,2.0,2,2,Have certificate,Full,3.1,Hồ Chí Minh,Quận 12,40–60,2,2–4,1,2–3,1,1–2,1,1–2,1,1–2,1,4,2–4,1
"Phường Bình Trưng Tây, Quận 2, Hồ Chí Minh",50.0,4.37,4.0,3.0,2,3,Have certificate,No furnishings,5.3,Hồ Chí Minh,Quận 2,40–60,2,4–6,2,3–5,2,3–4,2,1–2,1,3–4,2,5,5–7,2
"Đường Hiệp Thành 13, Phường Hiệp Thành, Quận 12, Hồ Chí Minh",56.0,4.0,3.0,2.0,3,2,Have certificate,Full,3.45,Hồ Chí Minh,Quận 12,40–60,2,2–4,1,2–3,1,1–2,1,3–4,2,1–2,1,5,5–7,2
"Đường Tân Thới Hiệp 20, Phường Tân Thới Hiệp, Quận 12, Hồ Chí Minh",52.7,3.6,5.0,2.0,3,2,Have certificate,Basic,3.45,Hồ Chí Minh,Quận 12,40–60,2,2–4,1,3–5,2,1–2,1,3–4,2,1–2,1,5,5–7,2
"Đường Trần Thái Tông, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",55.0,4.4,5.0,4.0,6,4,Have certificate,Basic,9.5,Hà Nội,Cầu Giấy,40–60,2,4–6,2,3–5,2,3–4,2,5–8,3,3–4,2,10,8–11,3
"Đường Lê Quang Đạo, Phường Phú Đô, Nam Từ Liêm, Hà Nội",45.0,4.0,5.0,5.0,4,4,Have certificate,Full,8.7,Hà Nội,Nam Từ Liêm,40–60,2,2–4,1,3–5,2,5–7,3,3–4,2,3–4,2,8,8–11,3
"Đường Lê Văn Khương, Phường Thới An, Quận 12, Hồ Chí Minh",71.0,4.0,8.0,2.0,3,2,Have certificate,Full,5.6,Hồ Chí Minh,Quận 12,60–80,3,2–4,1,7–9,4,1–2,1,3–4,2,1–2,1,5,5–7,2
"Đường Khương Trung, Phường Khương Trung, Thanh Xuân, Hà Nội",37.0,3.6,3.0,3.0,2,4,Have certificate,Basic,7.2,Hà Nội,Thanh Xuân,20–40,1,2–4,1,2–3,1,3–4,2,1–2,1,3–4,2,6,5–7,2
"Đường Phan Văn Hớn, ấp 7 Xã Xuân Thới Thượng, Hóc Môn, Hồ Chí Minh",64.0,4.0,10.0,3.0,4,3,Have certificate,No furnishings,4.7,Hồ Chí Minh,Hóc Môn,60–80,3,2–4,1,lớn hơn 9,5,3–4,2,3–4,2,3–4,2,7,5–7,2
"Đường Trần Hưng Đạo, Phường Phương Lâm, Hòa Bình, Hòa Bình",70.0,3.5,5.0,3.0,4,3,Have certificate,Basic,5.0,Hòa Bình,Hòa Bình,60–80,3,2–4,1,3–5,2,3–4,2,3–4,2,3–4,2,7,5–7,2
"Phường Dĩ An, Dĩ An, Bình Dương",36.0,3.5,2.5,2.0,3,2,Have certificate,No furnishings,1.98,Bình Dương,Dĩ An,20–40,1,2–4,1,2–3,1,1–2,1,3–4,2,1–2,1,5,5–7,2
"Đường Nguyễn Oanh, Phường 6, Gò Vấp, Hồ Chí Minh.",72.0,4.0,6.0,3.0,1,1,Have certificate,No furnishings,8.7,Hồ Chí Minh,Gò Vấp,60–80,3,2–4,1,5–7,3,3–4,2,1–2,1,1–2,1,2,2–4,1
"Đường Vườn Lài, Phường An Phú Đông, Quận 12, Hồ Chí Minh.",100.8,7.0,8.0,1.0,1,1,Have certificate,Basic,8.5,Hồ Chí Minh,Quận 12,80–120,4,6–8,3,7–9,4,1–2,1,1–2,1,1–2,1,2,2–4,1
"Đường Huỳnh Tấn Phát, Thị trấn Nhà Bè, Nhà Bè, Hồ Chí Minh",51.0,4.0,6.0,2.0,4,3,Have certificate,Basic,4.19,Hồ Chí Minh,Nhà Bè,40–60,2,2–4,1,5–7,3,1–2,1,3–4,2,3–4,2,7,5–7,2
"Xã Trung Châu, Đan Phượng, Hà Nội",115.0,13.5,6.5,3.0,4,3,Have certificate,Basic,3.95,Hà Nội,Đan Phượng,80–120,4,12–20,5,5–7,3,3–4,2,3–4,2,3–4,2,7,5–7,2
"Đường Thanh Am, Phường Thượng Thanh, Long Biên, Hà Nội",44.0,4.0,2.0,4.0,4,3,Have certificate,Basic,8.2,Hà Nội,Long Biên,40–60,2,2–4,1,2–3,1,3–4,2,3–4,2,3–4,2,7,5–7,2
"1368, Đường Lê Văn Lương, Xã Phước Kiển, Nhà Bè, Hồ Chí Minh",31.28,4.4,5.0,1.0,3,2,Sale contract,Basic,1.6,Hồ Chí Minh,Nhà Bè,20–40,1,4–6,2,3–5,2,1–2,1,3–4,2,1–2,1,5,5–7,2
"Đường Hoàng Minh Chánh, Phường Hóa An, Biên Hòa, Đồng Nai",61.0,4.2,12.0,3.0,3,3,Have certificate,Full,3.0,Đồng Nai,Biên Hòa,60–80,3,4–6,2,lớn hơn 9,5,3–4,2,3–4,2,3–4,2,6,5–7,2
"Đường  Thạch Lam, Phường Hiệp Tân, Tân Phú, Hồ Chí Minh",84.0,4.4,8.0,2.0,2,1,Sale contract,Full,8.4,Hồ Chí Minh,Tân Phú,80–120,4,4–6,2,7–9,4,1–2,1,1–2,1,1–2,1,3,2–4,1
"Đường Nguyễn Tri Phương, Phường Bửu Hòa, Biên Hòa, Đồng Nai",80.0,4.7,5.0,2.0,3,3,Have certificate,Basic,2.75,Đồng Nai,Biên Hòa,60–80,3,4–6,2,3–5,2,1–2,1,3–4,2,3–4,2,6,5–7,2
"Đường Nguyễn Tri Phương, Phường Bửu Hòa, Biên Hòa, Đồng Nai",70.0,7.0,7.0,1.0,2,2,Have certificate,Basic,2.3,Đồng Nai,Biên Hòa,60–80,3,6–8,3,5–7,3,1–2,1,1–2,1,1–2,1,4,2–4,1
"Đường Hoàng Minh Chánh, Phường Hóa An, Biên Hòa, Đồng Nai",80.0,3.0,3.0,2.0,3,2,Have certificate,Basic,1.7,Đồng Nai,Biên Hòa,60–80,3,2–4,1,2–3,1,1–2,1,3–4,2,1–2,1,5,5–7,2
"Đường Tân Hóa, Phường 14, Quận 6, Hồ Chí Minh",44.0,4.0,11.0,3.0,3,2,Have certificate,Basic,4.59,Hồ Chí Minh,Quận 6,40–60,2,2–4,1,lớn hơn 9,5,3–4,2,3–4,2,1–2,1,5,5–7,2
"Đường 26, Phường Linh Đông, Thủ Đức, Hồ Chí Minh",168.0,5.27,7.0,1.0,1,1,Have certificate,Full,9.5,Hồ Chí Minh,Thủ Đức,lớn hơn 160,6,4–6,2,5–7,3,1–2,1,1–2,1,1–2,1,2,2–4,1
"Đường Hoàng Minh Chánh, Phường Hóa An, Biên Hòa, Đồng Nai",60.0,4.2,6.0,2.0,2,2,Have certificate,Basic,2.35,Đồng Nai,Biên Hòa,40–60,2,4–6,2,5–7,3,1–2,1,1–2,1,1–2,1,4,2–4,1
"Đường Nguyễn Thị Tồn, Phường Hóa An, Biên Hòa, Đồng Nai",89.0,7.0,7.0,3.0,4,3,Have certificate,Basic,2.7,Đồng Nai,Biên Hòa,80–120,4,6–8,3,5–7,3,3–4,2,3–4,2,3–4,2,7,5–7,2
"Đường Nguyễn Tri Phương, Phường Bửu Hòa, Biên Hòa, Đồng Nai",89.0,4.7,5.0,2.0,3,2,Have certificate,Basic,2.7,Đồng Nai,Biên Hòa,80–120,4,4–6,2,3–5,2,1–2,1,3–4,2,1–2,1,5,5–7,2
"Đường Tân Xuân, Phường Đông Ngạc, Bắc Từ Liêm, Hà Nội",50.0,3.2,3.5,4.0,4,5,Have certificate,No furnishings,5.85,Hà Nội,Bắc Từ Liêm,40–60,2,2–4,1,3–5,2,3–4,2,3–4,2,5–8,3,9,8–11,3
"Đường Số 16, Phường Bình Hưng Hòa, Bình Tân, Hồ Chí Minh",120.0,5.0,12.0,1.0,5,5,Have certificate,Full,8.2,Hồ Chí Minh,Bình Tân,80–120,4,4–6,2,lớn hơn 9,5,1–2,1,5–8,3,5–8,3,10,8–11,3
"Dự án Him Lam Hùng Vương, Phường Hùng Vương, Hồng Bàng, Hải Phòng",48.9,4.1,10.0,4.0,4,3,Have certificate,Basic,3.25,Hải Phòng,Hồng Bàng,40–60,2,4–6,2,lớn hơn 9,5,3–4,2,3–4,2,3–4,2,7,5–7,2
"Đường Minh Khai, Phường Minh Khai, Hai Bà Trưng, Hà Nội",30.0,4.0,3.0,6.0,3,4,Have certificate,No furnishings,7.5,Hà Nội,Hai Bà Trưng,20–40,1,2–4,1,2–3,1,5–7,3,3–4,2,3–4,2,7,5–7,2
"Đường Phạm Văn Chiêu, Phường 9, Gò Vấp, Hồ Chí Minh.",57.0,6.0,6.0,3.0,4,5,Have certificate,Full,7.5,Hồ Chí Minh,Gò Vấp,40–60,2,4–6,2,5–7,3,3–4,2,3–4,2,5–8,3,9,8–11,3
"Đường Ngô Quyền, Phường Quang Trung, Hà Đông, Hà Nội",47.0,4.0,4.0,5.0,4,5,Have certificate,No furnishings,7.6,Hà Nội,Hà Đông,40–60,2,2–4,1,3–5,2,5–7,3,3–4,2,5–8,3,9,8–11,3
"Dự án Five Star Eco City, Đường Đinh Đức Thiện, Xã Phước Lý, Cần Giuộc, Long An",100.0,4.4,5.0,2.0,4,3,Have certificate,Basic,3.6,Long An,Cần Giuộc,80–120,4,4–6,2,3–5,2,1–2,1,3–4,2,3–4,2,7,5–7,2
"Đường 17, Phường Bình Chuẩn, Thuận An, Bình Dương",105.0,5.0,6.0,2.0,3,3,Have certificate,Full,3.95,Bình Dương,Thuận An,80–120,4,4–6,2,5–7,3,1–2,1,3–4,2,3–4,2,6,5–7,2
"Phường Văn Quán, Hà Đông, Hà Nội",40.0,3.5,5.0,5.0,4,3,Have certificate,No furnishings,9.0,Hà Nội,Hà Đông,20–40,1,2–4,1,3–5,2,5–7,3,3–4,2,3–4,2,7,5–7,2
"Phường Phúc Lợi, Long Biên, Hà Nội",40.0,4.3,7.0,3.0,3,4,Have certificate,No furnishings,6.7,Hà Nội,Long Biên,20–40,1,4–6,2,5–7,3,3–4,2,3–4,2,3–4,2,7,5–7,2
"Dự án KDC Hồng Loan, Đường D15, Phường Hưng Thạnh, Cái Răng, Cần Thơ",170.0,4.4,5.0,1.0,1,1,Have certificate,No furnishings,5.86,Cần Thơ,Cái Răng,lớn hơn 160,6,4–6,2,3–5,2,1–2,1,1–2,1,1–2,1,2,2–4,1
"Đường Bùi Hữu Nghĩa, Phường Bửu Hòa, Biên Hòa, Đồng Nai",153.0,8.3,5.0,1.0,2,2,Have certificate,Basic,3.9,Đồng Nai,Biên Hòa,120–160,5,8–12,4,3–5,2,1–2,1,1–2,1,1–2,1,4,2–4,1
"Đường Nguyễn Sơn, Phường Bồ Đề, Long Biên, Hà Nội",39.0,4.2,5.0,6.0,3,5,Have certificate,Full,9.0,Hà Nội,Long Biên,20–40,1,4–6,2,3–5,2,5–7,3,3–4,2,5–8,3,8,8–11,3
"Đường  Trần Xuân Soạn, Phường Tân Hưng, Quận 7, Hồ Chí Minh",53.0,4.57,3.0,2.0,2,2,Have certificate,Full,4.35,Hồ Chí Minh,Quận 7,40–60,2,4–6,2,2–3,1,1–2,1,1–2,1,1–2,1,4,2–4,1
"Đường Ngô Thì Sỹ, Phường Vạn Phúc, Hà Đông, Hà Nội",30.0,4.0,2.0,2.0,2,2,Have certificate,Full,4.85,Hà Nội,Hà Đông,20–40,1,2–4,1,2–3,1,1–2,1,1–2,1,1–2,1,4,2–4,1
"Đường Văn Cao, Phường Phú Thọ Hòa, Tân Phú, Hồ Chí Minh",40.0,4.4,5.0,2.0,2,2,Have certificate,No furnishings,3.68,Hồ Chí Minh,Tân Phú,20–40,1,4–6,2,3–5,2,1–2,1,1–2,1,1–2,1,4,2–4,1
"Phường Uyên Hưng, Tân Uyên, Bình Dương",63.0,4.5,9.0,2.0,3,2,Sale contract,No furnishings,1.6,Bình Dương,Tân Uyên,60–80,3,4–6,2,7–9,4,1–2,1,3–4,2,1–2,1,5,5–7,2
"Dự án Bình Minh Garden, Đường Đức Giang, Phường Đức Giang, Long Biên, Hà Nội",139.0,5.0,5.0,2.0,4,2,Have certificate,Full,8.1,Hà Nội,Long Biên,120–160,5,4–6,2,3–5,2,1–2,1,3–4,2,1–2,1,6,5–7,2
"Đường Nguyễn Thị Huê, Xã Bà Điểm, Hóc Môn, Hồ Chí Minh",50.0,3.4,5.0,2.0,3,3,Have certificate,Full,2.0,Hồ Chí Minh,Hóc Môn,40–60,2,2–4,1,3–5,2,1–2,1,3–4,2,3–4,2,6,5–7,2
"Phường La Khê, Hà Đông, Hà Nội",41.0,4.7,5.0,5.0,4,4,Sale contract,No furnishings,6.95,Hà Nội,Hà Đông,40–60,2,4–6,2,3–5,2,5–7,3,3–4,2,3–4,2,8,8–11,3
"Đường Lê Hoàng Phái, Phường 17, Gò Vấp, Hồ Chí Minh",95.0,5.0,6.0,2.0,3,2,Sale contract,No furnishings,7.7,Hồ Chí Minh,Gò Vấp,80–120,4,4–6,2,5–7,3,1–2,1,3–4,2,1–2,1,5,5–7,2
"Đường Số 2 Cư Xá Ra Da, Phường 13, Quận 6, Hồ Chí Minh",80.0,4.0,12.0,1.0,4,4,Have certificate,No furnishings,8.5,Hồ Chí Minh,Quận 6,60–80,3,2–4,1,lớn hơn 9,5,1–2,1,3–4,2,3–4,2,8,8–11,3
"Đường Cây Keo, Phường Tam Phú, Thủ Đức, Hồ Chí Minh",51.0,5.0,5.0,3.0,3,3,Have certificate,No furnishings,5.45,Hồ Chí Minh,Thủ Đức,40–60,2,4–6,2,3–5,2,3–4,2,3–4,2,3–4,2,6,5–7,2
"Đường 768, Xã Thạnh Phú, Vĩnh Cửu, Đồng Nai",70.0,5.0,6.0,2.0,2,2,Have certificate,Basic,1.2,Đồng Nai,Vĩnh Cửu,60–80,3,4–6,2,5–7,3,1–2,1,1–2,1,1–2,1,4,2–4,1
"Đường 8, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",56.0,4.0,8.0,2.0,3,2,Have certificate,Basic,4.95,Hồ Chí Minh,Thủ Đức,40–60,2,2–4,1,7–9,4,1–2,1,3–4,2,1–2,1,5,5–7,2
"Phường Hiệp Thành, Quận 12, Hồ Chí Minh",24.8,3.5,2.5,3.0,2,2,Have certificate,No furnishings,2.63,Hồ Chí Minh,Quận 12,20–40,1,2–4,1,2–3,1,3–4,2,1–2,1,1–2,1,4,2–4,1
"Đường Nguyễn Ảnh Thủ, Phường Hiệp Thành, Quận 12, Hồ Chí Minh",31.0,4.0,6.0,2.0,2,2,Have certificate,Full,1.63,Hồ Chí Minh,Quận 12,20–40,1,2–4,1,5–7,3,1–2,1,1–2,1,1–2,1,4,2–4,1
"Đường 10, Phường An Lạc A, Bình Tân, Hồ Chí Minh",40.0,4.0,8.0,2.0,3,3,Have certificate,Basic,4.9,Hồ Chí Minh,Bình Tân,20–40,1,2–4,1,7–9,4,1–2,1,3–4,2,3–4,2,6,5–7,2
"Đường 7, Phường Linh Trung, Thủ Đức, Hồ Chí Minh",90.0,4.8,5.0,1.0,4,4,Have certificate,Full,5.9,Hồ Chí Minh,Thủ Đức,80–120,4,4–6,2,3–5,2,1–2,1,3–4,2,3–4,2,8,8–11,3
"Đường Láng, Phường Láng Thượng, Đống Đa, Hà Nội",33.0,3.0,5.0,5.0,3,4,Have certificate,Full,8.2,Hà Nội,Đống Đa,20–40,1,2–4,1,3–5,2,5–7,3,3–4,2,3–4,2,7,5–7,2
"Đường Số 3, Phường 9, Gò Vấp, Hồ Chí Minh",54.0,4.5,5.0,5.0,3,4,Have certificate,No furnishings,8.7,Hồ Chí Minh,Gò Vấp,40–60,2,4–6,2,3–5,2,5–7,3,3–4,2,3–4,2,7,5–7,2
"Phường 12, Phú Nhuận, Hồ Chí Minh",30.0,4.4,5.0,3.0,3,4,Have certificate,Basic,7.15,Hồ Chí Minh,Phú Nhuận,20–40,1,4–6,2,3–5,2,3–4,2,3–4,2,3–4,2,7,5–7,2
"Đường 5, Phường Bình Trưng Tây, Thủ Đức, Hồ Chí Minh.",98.0,8.0,6.0,1.0,6,2,Have certificate,Full,4.0,Hồ Chí Minh,Thủ Đức,80–120,4,6–8,3,5–7,3,1–2,1,5–8,3,1–2,1,8,8–11,3
